movie,posted_by,text,date_posted,review_type
The Meg,N/A,"5 years later and it's just okay Turns out it's actually loosely based on the 1997 book Sharks are the deadliest predators to roam the oceans But the Megalodon is the most fierce given it's been around for millions of years since the dinosaurs roamed the earth Funny considering there's so many straight-to-dvd movies that are intentionally bad nothing has been able to match 'Jaws', the closest has been 'The Shallows' John Turteltaub directs a giant summer flick about the scariest one out there starring Jason Statham, Li Bingbing, Ruby Rose, Masi Oka, and Jessica McNamee At the bottom of the Mariana Trench resides a Megalodon that manages to trap a submarine crew in the Pacific Ocean outside of China working for the Mana One research facility A rescue diver Jonas Taylor steps in to save them and find a way to defeat this deadly predator The film is a B movie no doubt with hokey acting, noticeable effects, flat characters, and a huge gaping plothole that will have you scratching your head The humans are okay but it's really the shark that's the real selling point The biggest issue is that it takes so long to get to the creature portions so you're just sitting around waiting for the shark to chow down on stuff It's half underwhelming at best begging to have a trashiness to it if it weren't for that PG-13 rating","Aug 10, 2023",audience_review
The Meg,The Incredible M,better then all the jaws sequels?,"Aug 10, 2023",audience_review
The Meg,Anileh M,"The meg 2 was good action movie with great suspense. Although some of the scenes in this movie including Jonas Statham were not very believable. Nice comedy from here and there, and would be a good movie to watch with children coming of age.","Aug 10, 2023",audience_review
The Meg,DJ F,Decent. Not as good as Deep Blue Sea but I will give this 3 stars.,"Aug 10, 2023",audience_review
The Meg,Melissa D,I love a shark movie! This one was just okay.,"Aug 9, 2023",audience_review
The Meg,Jess F,Puros estereotipos y situaciones absurdas. Pero genial para reírse con la familia de lo mala que es la película.,"Aug 9, 2023",audience_review
The Meg,David W,"It's raises the shark based action himovie to never before seen heights. A very enjoyable modern b-movie which is well acted, has some genuine tension, some funny lines and great shark effects, what more do you want? The Stath is in full effect and all without having to shoot or kick anyone in the head. A great antidote to a stressful day. Just switch off the brain and enjoy the ride with mates and a bucket of popcorn, I liked it a lot.","Aug 9, 2023",audience_review
The Meg,C,Dumb but fun entertainment.,"Aug 7, 2023",audience_review
The Meg,Anubis C,"Awesome movie imo. Pacing is nice, Visuals are great, acting a solid 8/10. Just your avarage action movie with a small plot. Definitely enjoyed it.","Aug 7, 2023",audience_review
The Meg,Ben M,There were a couple good action scenes. The CGI wasn't great. A lot of the dialogue was cheesy.,"Aug 7, 2023",audience_review
The Meg,Snuggly,Fantastic performance by Meg.,"Aug 7, 2023",audience_review
The Meg,James B,incredibly dumb but watchable jason statham only reason to watch jaws the first one and deep blue sea are better shark film. the meg is cool though cool big shark,"Aug 7, 2023",audience_review
The Meg,Marco D,"I am still absolutely obsessed with this film. It's Fun, I t's entertaining, and it will make you want to start binging other shark movies as well.","Aug 6, 2023",audience_review
The Meg,Trevor B,The Meg was amazing!!!,"Aug 6, 2023",audience_review
The Meg,Andy T,"This was a fun ride - funny, action packed. Perfect popcorn movie!","Aug 6, 2023",audience_review
They Cloned Tyrone,Murjani Rawls,"Given all the ideas, Taylor’s genre platter ends with a satisfying and thought-provoking fantasy note.","Aug 9, 2023",critic_review
They Cloned Tyrone,Brian Farvour,"Far from bad, but does require patience.","Aug 8, 2023",critic_review
They Cloned Tyrone,Justin Brown,"It's funny, suspenseful and a great watch! Very unique storytelling that pays off. I highly recommend!","Aug 6, 2023",critic_review
They Cloned Tyrone,Brandon Collins,"This was firing on all cylinders! Fantastic performances, writing, cinematography and music! One of the best films of the year...hands down!","Aug 6, 2023",critic_review
They Cloned Tyrone,Sonny Bunch,"The lack of subtlety works in They Cloned Tyrone’s favor, just as it worked in the favor of They Live! or Pootie Tang or Sorry to Bother You.","Aug 4, 2023",critic_review
They Cloned Tyrone,Craig Mathieson,"It does waver at times, but the laughs are always backed by insightful ideas.","Aug 3, 2023",critic_review
They Cloned Tyrone,Whang Yee Ling,First-time film-maker Taylor’s conspiracy caper is an imaginative piece of storytelling -- no clone here -- that surprises right until the closing punchline.,"Aug 3, 2023",critic_review
They Cloned Tyrone,Abhishek Srivastava,Juel's directorial debut deserves commendation for breaking stereotypes and showcasing his formidable talent.,"Aug 1, 2023",critic_review
They Cloned Tyrone,Erik Childress,Boyega has to play the film's moral fortitude and does it well but Jamie Foxx and Teyonah Parris give two of the best comic performances of the year and are an absolute delight to watch bounce off each other.,"Aug 1, 2023",critic_review
They Cloned Tyrone,Lucas Moore,"Even though it's shot like a Blaxploitation film, at no time does the scope of the film not feel grand. It's a horror/sci-fi film with social commentary that doesn't feel too woke that it takes you out of the pure enjoyment of the film.","Jul 31, 2023",critic_review
They Cloned Tyrone,Kit Stone,They Cloned Tyrone is almost too good for its Netflix home. What Taylor delivered for his debut is something of cinematic value.,"Jul 31, 2023",critic_review
They Cloned Tyrone,Nick Venable,The fact that it can bring so many past favorites to mind while still maintaining its own identity is a feat unto itself.,"Jul 31, 2023",critic_review
They Cloned Tyrone,Eve Tushnet,"This movie is so fun, so joyful in its plunge into a stylized Black cultural world that mixes nostalgia for the bad old Blaxploitation days and hypercontemporary references, that you almost don’t notice how much Afropessimism is in its DNA.","Jul 31, 2023",critic_review
They Cloned Tyrone,Alejandro Alemán,"Juel Taylor knows how to deliver a personal, original and fun film. [Full review in Spanish]","Jul 31, 2023",critic_review
They Cloned Tyrone,Dennis Schwartz,Ambiguity filters the lines between the truth and fantasy.,"Jul 30, 2023",critic_review
They Cloned Tyrone,Jason Fraley,"The mystery can be hard to follow for the first half hour, but if you can stick with it, it really picks up in the second half with a villainous monologue that explains what's going on, a mix of ""Body Snatchers,"" ""Get Out,"" ""Us"" and ""Sorry to Bother You.""","Jul 29, 2023",critic_review
They Cloned Tyrone,Mini Anthikad-Chhibber,The actors have a whale of a time in this smartly subversive sci-fi thriller comedy.,"Jul 29, 2023",critic_review
They Cloned Tyrone,Tatat Bunnag,"If you like mystery movies that have an element of humour behind them and want to watch one that's totally off the wall, check this out.","Jul 28, 2023",critic_review
They Cloned Tyrone,Prabhjot Bains,"Though it doesn't hit all its marks (especially when the plot-oriented second half writes itself into a few illogical corners), They Cloned Tyrone never relinquishes its equally alluring and off-putting charm.","Jul 28, 2023",critic_review
They Cloned Tyrone,Brian Costello,"This is a thoughtful and hilarious, if raw and at times profane, sci-fi mystery comedy.","Jul 27, 2023",critic_review
They Cloned Tyrone,Kamaya,Movie of the doggone summer. they’re gonna shake the room with this one.,"Jul 21, 2023",audience_review
They Cloned Tyrone,Bradley,Just go see it. Instant cult classic movie,"Jul 17, 2023",audience_review
They Cloned Tyrone,Google,So fun! Inventive and smart with twists and turns the whole way through. Amazing writing!,"Jul 17, 2023",audience_review
They Cloned Tyrone,Marshall,damn that was so good! would def recommend!,"Jul 16, 2023",audience_review
They Cloned Tyrone,Paul D,"i loved everything, but i kinda wanted to see it play out differently in the end.","Jul 16, 2023",audience_review
They Cloned Tyrone,Aaron,Best Netflix film in years. The movie is hyper aware of itself. Extremely meta and sophisticated. Very clever humor.,"Jul 16, 2023",audience_review
They Cloned Tyrone,Jason,Y’all gotta see this. My god. Only person in the theater and this movie made me asthmatic.,"Jul 15, 2023",audience_review
The Night of the 12th,Gisela Savdie,"The film deals with the traumatic effects of crime from a social, psychological, and gender perspective making it universal. [Full review in Spanish]","Aug 10, 2023",critic_review
The Night of the 12th,Hope Madden,Moll has drawn us into a tragic mystery and left us searching for answers to questions beyond the identity of Clara’s killer.,"Aug 4, 2023",critic_review
The Night of the 12th,Farah Cheded,"The film’s treatment of the victim herself — incurious and downright gratuitous in the depiction of her murder — cements it as a shallow, un-self-aware, and failed attempt to reckon with a subject that deserved its full focus.","Aug 4, 2023",critic_review
The Night of the 12th,Christopher Lloyd,"A tense, engaging crime procedural that is stylistically more American than French.","Aug 1, 2023",critic_review
The Night of the 12th,Roger Moore,"""La Nuit du 12"" tests one's patience the way the case weighs on and tests the detectives.","Jul 29, 2023",critic_review
The Night of the 12th,Sean P. Means,"Moll investigates the emotional states of the cops as doggedly as those cops investigate Clara’s death. His investigation is more fruitful, as the movie maps out the frustrations, the burnout and the stresses these police detectives endure.","Jul 10, 2023",critic_review
The Night of the 12th,June Butler,The Night of the Twelfth will give viewers reason to reflect on the inhumanity of innocence and the fragility of life. It’s an astounding film and one that is well worth watching.,"Jun 29, 2023",critic_review
The Night of the 12th,Laura Clifford,"an unconventional police procedural, one in which an unsolved crime haunts its investigators… emotional callousness begins an array of the violent tendencies of too many men toward women which will weigh upon Yohan.","Jun 27, 2023",critic_review
The Night of the 12th,Edwin Arnaudin,"The French ""Memories of Murder.""","Jun 27, 2023",critic_review
The Night of the 12th,Justin Chang,What emerges from this particular case is an expansive study in collective misogyny.,"Jun 9, 2023",critic_review
The Night of the 12th,Rene Sanchez,A compelling procedural drama that examines the fragility and bias of the systems and institutions in charge of providing justice. [Full Review in Spanish],"Jun 9, 2023",critic_review
The Night of the 12th,Neely Swanson,"Stunning and methodical, “The Night of the 12th” remains both pragmatic and heart wrenching...","Jun 3, 2023",critic_review
The Night of the 12th,Lee Jutton,While the lack of resolution is disappointing for the audience it doesn’t make The Night of the 12th any less powerful.,"Jun 1, 2023",critic_review
The Night of the 12th,Filipe Freitas,"It can be frustrating to follow these cops, both locked in their solitude and lost in their leads.","May 24, 2023",critic_review
The Night of the 12th,Taylor Baker,In The Night of the 12th the film adaptation of the novel 18.3 – Une année à la PJ by Pauline Guéna director Dominik Moll swaps the intrigue that normally permeates detective tales for an authentic portrayal of the day-to-day events and,"May 21, 2023",critic_review
The Night of the 12th,Sheila O'Malley,There's more going on here than meets the eye.,"May 19, 2023",critic_review
The Night of the 12th,Bobby LePire,"The cast perfectly plays their well-written roles, while the dialogue sounds authentic.","May 19, 2023",critic_review
The Night of the 12th,Bilge Ebiri,"Its real-world mysteries eventually become existential ones, but the film never stops sending chills up your spine.","May 19, 2023",critic_review
The Night of the 12th,Jared Mobarak,This police procedural isn't therefore about justice or heroism or even violence. At least not any one isolated from the others. It's a look at the human condition and its tragic flirtation with futility.,"May 19, 2023",critic_review
The Night of the 12th,Morgan Rojas,"Composer Olivier Margueri’s score offers a beautiful mix of buoyancy sprinkled with melancholy, giving the film its ominous nature.","May 18, 2023",critic_review
The Night of the 12th,Archie H,The lead character spends most of his time cycling in a circle going nowhere. That's exactly how you feel having watched the film. Pretentious nonsense. Total waste of time.,"Aug 8, 2023",audience_review
The Night of the 12th,Yuri M,"O filme é excelente. Quase como um documentário, a história é imersiva e convida o telespectador a participar das angústias vividas pelos personagens ali presentes. O arco do protagonista exibe a vida e a rotina de investigações policiais. Promove importantes reflexões a respeito de comportamentos estruturais da sociedade, de forma leve e sem desviar da história. Uma obra prima.","Aug 7, 2023",audience_review
The Night of the 12th,Ravenswood R,"Excellent police movie. It covers many themes equally well, has sharp characterization and consistently believable scenes and dialogue. It is dark in general but has great vitality in the story and compelling interactions which keep it lively and brisk, even with the long run time and ""slow"" pace. Humor is present, too, if you catch it. Proves that a nice tidy wrap-up and solving of the crime is not what makes a great movie.","Aug 6, 2023",audience_review
The Night of the 12th,Richa P,Omg what a disappointing movie this was! It takes you through a whole investigation of a murder - the kind of unsolved murder that haunts investigators. And spoiler alert - it remains unsolved till the end! Like why would you pass on that misery to the audience?? How does this movie have an audience rotten tomato score 98%?? This is absolutely insane! Don't watch this movie.,"Aug 6, 2023",audience_review
The Night of the 12th,Bruce S,"The movie is not so much a Mystery as a Police Procedural. They pretty much tell you so at the beginning of the show. The acting, direction and filming are great. Just remember that it's based on a true story of an unsolved crime. Also, if you're a french language student this film is great for its easy to understand dialog if you're at level B2 or so.","Jul 15, 2023",audience_review
The Night of the 12th,Primo 1,"A dark, well crafted gripping movie. A hard -boiled, adaptation of french police procedures, laying out a genuine portrayal of the day to day events and the human condition with its tragic seduction with futility.","Jul 7, 2023",audience_review
The Night of the 12th,Jeffrey M F,"This was well-acted and well-done overall, but European films like this feel very slow for American viewers who are used to a much faster pace to our story telling.","Jul 4, 2023",audience_review
The Night of the 12th,Onini C,"""The Night Of The 12TH"" is a gripping thriller that keeps you on the edge of your seat. With its clever plot twists and intense performances, it delivers a suspenseful experience that will leave you guessing until the very end. A must-watch!","Jun 19, 2023",audience_review
The Night of the 12th,len s,I enjoyed the movie which was based to true events. The acting was good although there were so many characters it was sometimes difficult to remember who was who. Even though I found the ending disappointing it still kept me entertained throughout.,"Jun 15, 2023",audience_review
The Night of the 12th,Lucas B,"Very interesting, quite captivating, but I had a little trouble with the rhythm. (Bouli Lanners I love you)","Jun 13, 2023",audience_review
The Night of the 12th,Ghederick Eshmont,Spectacular crime procedural that avoids the Anglo-American psychological/obsessive troupes. Very adept at showing the bureaucratic nature of law enforcement.,"Jun 12, 2023",audience_review
The Night of the 12th,Roy J,"Good for fans of police procedurals. Otherwise, a little frustrating on what the movie is trying to say. We know from the start the killer won't be found, so is it because of police incompetence or just how life is.","Jun 11, 2023",audience_review
The Night of the 12th,Tyler G,"Understated and well acted crime investigation movie. Opts for realism over resolution, personal dynamics over standard procedural. The gender commentary overt in the dialogues bridging between multiple scenes and characters felt a bit forced. Overall, okay.","Jun 7, 2023",audience_review
The Night of the 12th,eduardo b,"Very good movie, great discussion. A must watch!","May 23, 2023",audience_review
The Night of the 12th,Jon T,Excellent. I am 67 so seen a lifetime of cop movies/tv shows. This is the best of them if you like realism. Can't say too much about it without giving it away.,"Apr 16, 2023",audience_review
The Night of the 12th,Natalia R,"It's an excellent and intriguing movie -- Dominik Moll's best movie. Based on the true police investigation of the murder of Maud Maréchal, in Lagny sur Marne -- a suburb outside Paris. The murder took place 10 years ago, May 14 2013. Dominik melanges incriminating evidence and characteristics of all suspects -- perhaps to distract attention from the main suspect and murderer who is still at large -- hopefully not for long. It's based on the book written by Pauline Guéna, 18.3 Une année à PJ. The chapter ""Une vraie victime"" talks about the investigation of Maud Maréchal's murder. In the book her name is Clara, same as in the movie. Pauline spent one year at the police of Versailles headquarters studying police investigations. The Night of the 12 got six Césars this year. Best director, best movie, best adapted screenplay, most promising actor, best supporting actor and best film score.","Apr 8, 2023",audience_review
The Night of the 12th,Alistair M,Intriguing and movie kept me fully engrossed,"Apr 6, 2023",audience_review
The Night of the 12th,Phil S,"This is a plausible and well-controlled procedural. It's no spoiler to say that this is a procedure without a positive outcome. That's the premise of the film from the start. But it mixes extreme violence and thoughtful conversations, which are refreshingly naturalistic. There are some excellent scenes which are unhurried, though the film never drags.","Mar 28, 2023",audience_review
Guardians of the Galaxy Vol. 3,Rick Bentley,Gunn weaves a story with Rocket that is as horrifying as it is heartwarming.,"Aug 8, 2023",critic_review
Guardians of the Galaxy Vol. 3,Eddie Harrison,…all just feels like indulgence of foppish creatives who don’t have much in the way of new or relatable ideas….,"Aug 5, 2023",critic_review
Guardians of the Galaxy Vol. 3,Lucas Moore,Rocket's origin story is great and the only highlight of the movie. Tonally it's all over the place and the runtime is about 25 minutes too long. After the brilliance of Guardians of the Galaxy Vol. 1 we're left wondering what happened to this series.,"Aug 2, 2023",critic_review
Guardians of the Galaxy Vol. 3,Manuel São Bento,"Guardians of the Galaxy Vol. 3 is an emotionally powerful, tear-inducing ""farewell"" to James Gunn and his Guardians. Rocket's bittersweet storyline is the soul, heart, and engine running the best MCU film since Spider-Man: No Way Home.","Jul 25, 2023",critic_review
Guardians of the Galaxy Vol. 3,Matthew Creith,"While the first two ""Guardians"" films might have been about Peter and the Guardians coming together, ""Guardians of the Galaxy Vol. 3"" is about the search for one's true identity and contribution to the greater good.","Jul 25, 2023",critic_review
Guardians of the Galaxy Vol. 3,Courtney Lanning,"""Guardians of the Galaxy Vol. 3"" shows [Marvel] still has fuel in the tank and is capable of making good movies. [The company] just needs to remember how to make character-driven stories that give its heroes something fun to accomplish.","Jul 25, 2023",critic_review
Guardians of the Galaxy Vol. 3,Akos Peterbencze,Guardians of the Galaxy Vol. 3 is unique because Gunn not only bids farewell to our beloved rejects but helps them find self-acceptance.,"Jul 25, 2023",critic_review
Guardians of the Galaxy Vol. 3,Tina Kakadelis,"While the script falters, the production design soars. The world of Guardians of the Galaxy Vol. 3 is vivid, bold, and exciting.","Jul 24, 2023",critic_review
Guardians of the Galaxy Vol. 3,Prabhjot Bains,"Though Vol.3 falls prey to the formulaic trappings of the Marvel vision, it does so with Gunn’s signature personality intact.","Jul 23, 2023",critic_review
Guardians of the Galaxy Vol. 3,Serena Seghedoni,"The Guardians of the Galaxy are here to remind you that you’re still worthy of love, you’re not alone, and you can still be your own life’s “Kevin Bacon”.","Jul 23, 2023",critic_review
Guardians of the Galaxy Vol. 3,Zach Pope,"Guardians Of The Galaxy Vol 3 is endearing, heartfelt, hilarious, but most of all everything you want from a finale I cried, I laughed, & I feel completely satisfied! Gunn has delivered the perfect finale & one of the best trilogies","Jul 22, 2023",critic_review
Guardians of the Galaxy Vol. 3,Sarah Ward,"This farewell to part of the MCU always feels like a zippy, self-contained Guardians of the Galaxy movie, rather than a placeholder for more and more future franchise instalments.","Jul 22, 2023",critic_review
Guardians of the Galaxy Vol. 3,David Griffiths,Everything comes together for this one – a brilliant screenplay from Gunn and his team of writers and a cast that seem to bring their best in what maybe some of their final times playing the characters that many cinema fans have come to know and love.,"Jul 21, 2023",critic_review
Guardians of the Galaxy Vol. 3,Lauren Veneziani,"Emotionally manipulative, too much CGI, and not nearly as fun as the first Guardians of the Galaxy film.","Jul 20, 2023",critic_review
Guardians of the Galaxy Vol. 3,Gissane Sophia,"James Gunn undeniably sticks the landing with one of the MCU’s most heartfelt and thoughtfully executed films, allowing the story to ascend to indelible heights.","Jul 20, 2023",critic_review
Guardians of the Galaxy Vol. 3,Víctor López G.,"One of the best movies in the MCU; capable of making you laugh out loud, bringing you to tears, thrilling you to the core, and proving that when Marvel Studios wants to, Marvel Studios can.","Jul 19, 2023",critic_review
Guardians of the Galaxy Vol. 3,Yasser Medina,"An entertaining sequel that once again showcases Marvel's cosmic side with a fast-paced adventure set in a space populated by action, humor, and wacky heroes listening to a greatest hits soundtrack to save the galaxy. [Full review in Spanish]","Jul 9, 2023",critic_review
Guardians of the Galaxy Vol. 3,John Serba,"It’s Gunn’s heart that shines brightest, though. His characters squabble like family but function wholly out of love for each other, which is precisely the thing that cuts through all the seemingly Marvel-mandated rigamarole.","Jul 7, 2023",critic_review
Guardians of the Galaxy Vol. 3,Victor Stiff,"Gunn refuses to give his characters the type of obvious resolutions fandom pines for. Instead, he’s crafted the bitter-sweet ending his characters deserve.","Jun 30, 2023",critic_review
Guardians of the Galaxy Vol. 3,Vera Wylde,"There's a whole bunch of nit-picky stuff that kept pulling me out of the movie, that I may well be the only one who cares about it, and the only one whose viewing experience was particularly hampered by these things.","Jun 28, 2023",critic_review
Guardians of the Galaxy Vol. 3,Paul N,Movie was OK. It had some fun moments but overall not as good as Vol. 1 or Vol. 2.,"Aug 8, 2023",audience_review
Guardians of the Galaxy Vol. 3,Juan M,really great movie. never fails. strongly recommended,"Aug 7, 2023",audience_review
Guardians of the Galaxy Vol. 3,Oak,There's no reason that CGI animals should make me so emotional. one of the best MCU projects in a while.,"Jul 27, 2023",audience_review
Guardians of the Galaxy Vol. 3,Tatiana,"fun, fun, fun !!!!!!!","Jul 26, 2023",audience_review
Guardians of the Galaxy Vol. 3,Jennifer B,best GG yet! bring tissues!,"Jul 25, 2023",audience_review
Guardians of the Galaxy Vol. 3,Mr. Hollywood,"A fun and emotional end to this trilogy, if in fact it is the end. It needs to be the end as the last few Marvel movies have shown they don't really know where to go next with this whole Marvel episodic movie universe. Endgame was the peak, downhill since.","Jul 23, 2023",audience_review
Guardians of the Galaxy Vol. 3,Joe D,Enjoyed the movie. Likes the idea of Quinn returning home to see his Dad. What's nest ????,"Jul 22, 2023",audience_review
Guardians of the Galaxy Vol. 3,PopcornBabe,"I loved this movie and plan on watching it again as soon as it is available to stream. This is probably my favorite of the Guardians of the Galaxy movies so far. The psychology in the movie is well done. The stakes in the movie are high, the characters, tone, and emotional turmoil of the movie are well done. The movie is very engaging and very good at invoking the intended emotions for a given scene. I know multiple people who shed tears while watching this movie. As a bonus, I that more character background details were revealed. I will say that this is a movie I recommend more for adults than children, and if you are sensitive to certain types of trauma-related content in movies maybe check out a parental guide prior to watching to see if this is a movie that may be too much for you. Some of the characters or portrayed as being in certain types of traumatic, life-or-death, and/or abusive situations.","Jul 22, 2023",audience_review
Guardians of the Galaxy Vol. 3,Janne P,"Loved it! Surprisingly emotional, satisfying journeys for all the characters, some surprises, lots of fun.","Jul 20, 2023",audience_review
Guardians of the Galaxy Vol. 3,Zachary P,Best Marvel movie since Endgame,"Jul 20, 2023",audience_review
Guardians of the Galaxy Vol. 3,Terri J,"As a fan of Marvel movies, I thought it was an excellent addition to the Marvel Universe!","Jul 20, 2023",audience_review
Guardians of the Galaxy Vol. 3,Marty,"comedy was minimal, music was not adding to the mood or intention of the scenes, Liked the story of Rocket's creation, but the overall story was weak and it looks like more violence and darkness was substituted for a creative and engaging overall story.","Jul 19, 2023",audience_review
Guardians of the Galaxy Vol. 3,Victor,obviously not the best by Marvel i still kind of like it ☺️,"Jul 19, 2023",audience_review
Guardians of the Galaxy Vol. 3,Cathy B,"Fun wrap up to the Guardians story (for now). Good story, great music (of course) and lots of feel good moments.","Jul 17, 2023",audience_review
Guardians of the Galaxy Vol. 3,G,Good story. To much cg,"Jul 17, 2023",audience_review
Guardians of the Galaxy Vol. 3,Walker,"This was the appropriate send off for an amazing franchise. I went in with lowered expectations being the 3rd movie, and it blew them out of the water. It's easily on par with the first Guardians movie. I stopped keeping track of how many times I cried after about 7 times. It had action, it had an amazing soundtrack, and I left with no complaints whatsoever. Best movie I've seen in a long time. Go see it while it's still in theaters!","Jul 17, 2023",audience_review
Guardians of the Galaxy Vol. 3,Max,Soundtrack was fye. Great origin story for rocket,"Jul 16, 2023",audience_review
Guardians of the Galaxy Vol. 3,Wade B,Excellent. The music makes it.,"Jul 16, 2023",audience_review
Guardians of the Galaxy Vol. 3,Oscar V,"Great movie to end off the Guardians. Lots of action, comedy and a lot of parts that make you cry","Jul 15, 2023",audience_review
Guardians of the Galaxy Vol. 3,Eddie R,the storyline was full of surprises and as always the music was GREAT wit NO Rap,"Jul 14, 2023",audience_review
River Wild,Charles Koplinski,"However, the final scene is on point and the emotional pull of the story is enough to make me forgive River its faults, but by a very narrow margin. 3 Stars","Aug 11, 2023",critic_review
River Wild,Nate Adams,"For a remake of a decent through not entirely beloved nineties cable hit, you could do much worse.","Aug 10, 2023",critic_review
River Wild,Dennis Schwartz,"It has a good mix of action, suspense and nature scenes.","Aug 9, 2023",critic_review
River Wild,Roger Moore,"No, it’s not a font of originality or endless blast of excitement. But “River Wild” does what its inspiration did and manages to move us as much as the Streep and Bacon Curtis Hanson film of 1994 did, and does it in a much shorter thriller.","Aug 5, 2023",critic_review
River Wild,Frank Swietek,"Less a remake of the starry 1994 film than a simpler, bare-bones take on the premise of malevolence during a white-water rafting trip, “River Wild” is an efficiently-made but flimsy potboiler about a berserk killer that’s notable only for its location.","Aug 5, 2023",critic_review
River Wild,Aaron Neuwirth,"The results are a tense, effective thriller that serves as one of the strongest efforts in the realm of direct-to-home video releases. Stronger than many theatrical thrillers, and some smart casting here as well.","Aug 4, 2023",critic_review
River Wild,Natasha Alvar,"River Wild may be a remake of sorts, but it's still very much its own film, with its own charms.","Aug 3, 2023",critic_review
River Wild,Randy Myers,A taut exercise with a few teeth-gnashing rafting sequences.,"Aug 2, 2023",critic_review
River Wild,Pramit Chatterjee,"River Wild is not a good movie. If you want to watch a group of people go on a deadly and stressful rafting mission, just watch the original 1994 film. I won’t recommend wasting your time on this.","Aug 2, 2023",critic_review
River Wild,Eddie Harrison,"…with small-scale action that doesn’t test credulity too much, and terse, committed acting, River Wild is a reasonably taut thriller which keeps you watching…","Aug 2, 2023",critic_review
